orderDate,invoiceNumber,customerID,customerName,productID,productName,category,quantityBought,sellingPrice,unitCost,InvoiceSales,InvoiceCost,shipmentDate
2024-04-26,5,39,Clean Keepers of Islandburg,5,Hygienic Travel Tissues,paper towel & tissue,7,64.32,48,450.23999999999995,336,2024-04-29
2024-04-26,5,39,Clean Keepers of Islandburg,9,Soft Guest Towels,paper towel & tissue,7,53.2,38,372.40000000000003,266,2024-04-29
2024-04-26,5,39,Clean Keepers of Islandburg,12,Durable Hypoallergenic Tissues,paper towel & tissue,2,62.4,48,124.8,96,2024-04-29
2024-04-26,5,39,Clean Keepers of Islandburg,13,Fragrance-Free Kitchen Paper Towels,paper towel & tissue,3,38.61,27,115.83,81,2024-04-29
2024-04-26,5,39,Clean Keepers of Islandburg,45,Eco-Friendly All-Purpose Cleaner,cleaning supplies,5,92.34,57,461.70000000000005,285,2024-04-29
2024-04-26,5,39,Clean Keepers of Islandburg,52,Effective Citrus Scented Cleaner,cleaning supplies,5,90,60,450,300,2024-04-29
2024-04-26,5,39,Clean Keepers of Islandburg,54,Eco-Friendly Oven Cleaner,cleaning supplies,21,34.5,23,724.5,483,2024-04-29
2024-04-26,5,39,Clean Keepers of Islandburg,56,Industrial Oven Cleaner,cleaning supplies,2,44.5,25,89,50,2024-04-29
2024-04-26,5,39,Clean Keepers of Islandburg,87,Versatile Legal Size Paper,copy paper,2,60.68,37,121.36,74,2024-04-29
2024-04-26,5,39,Clean Keepers of Islandburg,94,Biodegradable Sketchbooks,copy paper,2,37.18,22,74.36,44,2024-04-29
2024-04-26,6,60,Harmonious Inspectors of Gardencity,30,Heavy-Duty Whiteboards,office products,2,62.28,36,124.56,72,2024-04-29
2024-04-26,6,60,Harmonious Inspectors of Gardencity,43,Safe Citrus Scented Cleaner,cleaning supplies,1,68.08,37,68.08,37,2024-04-29
2024-04-26,6,60,Harmonious Inspectors of Gardencity,49,Easy-to-Use Fabric Softener,cleaning supplies,1,77.28,46,77.28,46,2024-04-29
2024-04-26,6,60,Harmonious Inspectors of Gardencity,51,Industrial Laundry Detergent,cleaning supplies,21,90,60,1890,1260,2024-04-29
2024-04-26,6,60,Harmonious Inspectors of Gardencity,52,Effective Citrus Scented Cleaner,cleaning supplies,1,96,60,96,60,2024-04-29
2024-04-26,6,60,Harmonious Inspectors of Gardencity,58,High-Quality Citrus Scented Cleaner,cleaning supplies,1,74.52,46,74.52,46,2024-04-29
2024-04-26,6,60,Harmonious Inspectors of Gardencity,59,Fragrance-Free Bathroom Cleaner,cleaning supplies,3,81,54,243,162,2024-04-29
2024-04-26,6,60,Harmonious Inspectors of Gardencity,60,Multi-Purpose Carpet Stain Remover,cleaning supplies,1,86.92,53,86.92,53,2024-04-29
2024-04-26,6,60,Harmonious Inspectors of Gardencity,98,Hygienic Legal Size Paper,copy paper,1,53.65,37,53.65,37,2024-04-29
2024-04-26,6,60,Harmonious Inspectors of Gardencity,99,Stylish Resume Paper,copy paper,1,67.24,41,67.24,41,2024-04-29
2024-04-26,7,81,Polished Attendants of Islandborough,55,Powerful Air Freshener,cleaning supplies,1,77.08,41,77.08,41,2024-04-29
2024-04-26,7,81,Polished Attendants of Islandborough,62,Sustainable Creamers and Sweeteners,breakroom supplies,8,14.21,7,113.68,56,2024-04-29
2024-04-26,7,81,Polished Attendants of Islandborough,64,Eco-Friendly Fresh Fruits,breakroom supplies,2,40.47,19,80.94,38,2024-04-29
2024-04-26,7,81,Polished Attendants of Islandborough,66,Wholesome Tea Selection,breakroom supplies,3,15.3,9,45.900000000000006,27,2024-04-29
2024-04-26,7,81,Polished Attendants of Islandborough,74,Sustainable Microwave Popcorn,breakroom supplies,2,13.58,7,27.16,14,2024-04-29
2024-04-26,7,81,Polished Attendants of Islandborough,79,Fresh Water Bottles,breakroom supplies,4,19.03,11,76.12,44,2024-04-29
2024-04-26,7,81,Polished Attendants of Islandborough,83,Professional Transfer Paper,copy paper,44,27.3,21,1201.2,924,2024-04-29
2024-04-26,7,81,Polished Attendants of Islandborough,87,Versatile Legal Size Paper,copy paper,3,48.47,37,145.41,111,2024-04-29
2024-04-26,7,81,Polished Attendants of Islandborough,89,Vibrant Letter Size Paper,copy paper,22,44.8,28,985.5999999999999,616,2024-04-29
2024-04-26,7,81,Polished Attendants of Islandborough,100,Professional Glossy Photo Paper,copy paper,6,58.08,44,348.48,264,2024-04-29
2024-04-26,8,86,Lustrous Custodians of Laketown,27,Flexible Tape,office products,2,28.8,20,57.6,40,2024-04-29
2024-04-26,8,86,Lustrous Custodians of Laketown,33,Flexible Scissors,office products,1,42.28,28,42.28,28,2024-04-29
2024-04-26,8,86,Lustrous Custodians of Laketown,34,Practical Markers,office products,1,31.08,21,31.08,21,2024-04-29
2024-04-26,8,86,Lustrous Custodians of Laketown,36,Practical File Folders,office products,2,36.96,24,73.92,48,2024-04-29
2024-04-26,9,89,Exquisite Experts of Islandtown,34,Practical Markers,office products,1,32.76,21,32.76,21,2024-04-29
2024-04-26,10,100,Brilliant Chefs of Forestville,4,Hygienic Absorbent Towels,paper towel & tissue,37,47.6,35,1761.2,1295,2024-04-29
2024-04-26,10,100,Brilliant Chefs of Forestville,12,Durable Hypoallergenic Tissues,paper towel & tissue,3,68.64,48,205.92000000000002,144,2024-04-29
2024-04-26,10,100,Brilliant Chefs of Forestville,17,Convenient Pocket Tissues,paper towel & tissue,15,36.66,26,549.9,390,2024-04-29
2024-04-26,10,100,Brilliant Chefs of Forestville,41,Eco-Friendly Laundry Detergent,cleaning supplies,4,59.2,32,236.8,128,2024-04-29
2024-04-26,10,100,Brilliant Chefs of Forestville,44,Fragrance-Free Disinfectant Wipes,cleaning supplies,8,52.8,33,422.4,264,2024-04-29
2024-04-26,10,100,Brilliant Chefs of Forestville,53,Eco-Friendly Carpet Stain Remover,cleaning supplies,3,44.64,24,133.92000000000002,72,2024-04-29
2024-04-26,10,100,Brilliant Chefs of Forestville,57,Industrial Dryer Sheets,cleaning supplies,3,92.34,54,277.02,162,2024-04-29
2024-04-26,10,100,Brilliant Chefs of Forestville,61,Eco-Friendly Instant Soups,breakroom supplies,7,26.18,14,183.26,98,2024-04-29
2024-04-26,10,100,Brilliant Chefs of Forestville,66,Wholesome Tea Selection,breakroom supplies,7,18,9,126,63,2024-04-29
2024-04-26,10,100,Brilliant Chefs of Forestville,71,Delicious Instant Soups,breakroom supplies,8,54.52,29,436.16,232,2024-04-29
2024-04-26,11,127,Pristine Servicers of Canyonborough,22,Leak-Proof Scissors,office products,1,38.07,27,38.07,27,2024-04-29
2024-04-26,11,127,Pristine Servicers of Canyonborough,27,Flexible Tape,office products,1,29,20,29,20,2024-04-29
2024-04-26,11,127,Pristine Servicers of Canyonborough,29,Leak-Proof File Folders,office products,1,68.85,45,68.85,45,2024-04-29
2024-04-26,11,127,Pristine Servicers of Canyonborough,34,Practical Markers,office products,2,29.4,21,58.8,42,2024-04-29
2024-04-26,11,127,Pristine Servicers of Canyonborough,36,Practical File Folders,office products,2,31.44,24,62.88,48,2024-04-29
2024-04-26,11,127,Pristine Servicers of Canyonborough,40,Versatile Pens and Pencils,office products,2,66,44,132,88,2024-04-29
2024-04-26,11,127,Pristine Servicers of Canyonborough,46,High-Quality Bathroom Cleaner,cleaning supplies,1,115.8,60,115.8,60,2024-04-29
2024-04-26,11,127,Pristine Servicers of Canyonborough,60,Multi-Purpose Carpet Stain Remover,cleaning supplies,1,94.34,53,94.34,53,2024-04-29
2024-04-26,11,127,Pristine Servicers of Canyonborough,65,Wholesome Creamers and Sweeteners,breakroom supplies,1,23.79,13,23.79,13,2024-04-29
2024-04-26,11,127,Pristine Servicers of Canyonborough,69,Eco-Friendly Energy Drinks,breakroom supplies,1,59.45,29,59.45,29,2024-04-29
2024-04-26,11,127,Pristine Servicers of Canyonborough,70,Premium Quality Fresh Fruits,breakroom supplies,1,20.9,11,20.9,11,2024-04-29
2024-04-26,11,127,Pristine Servicers of Canyonborough,80,Eco-Friendly Tea Selection,breakroom supplies,1,52.08,28,52.08,28,2024-04-29
2024-04-26,11,127,Pristine Servicers of Canyonborough,87,Versatile Legal Size Paper,copy paper,3,62.9,37,188.7,111,2024-04-29
2024-04-26,11,127,Pristine Servicers of Canyonborough,88,Professional Watercolor Paper,copy paper,1,51.8,35,51.8,35,2024-04-29
2024-04-26,11,127,Pristine Servicers of Canyonborough,91,Smooth Colored Paper,copy paper,1,45.9,30,45.9,30,2024-04-29
2024-04-26,12,138,Auspicious Wholesalers of Canyonborough,22,Leak-Proof Scissors,office products,2,41.85,27,83.7,54,2024-04-29
2024-04-26,12,138,Auspicious Wholesalers of Canyonborough,24,Practical Sticky Notes,office products,2,51.48,39,102.96,78,2024-04-29
2024-04-26,12,138,Auspicious Wholesalers of Canyonborough,25,Innovative Recycled Paper,office products,1,44.55,33,44.55,33,2024-04-29
2024-04-26,12,138,Auspicious Wholesalers of Canyonborough,27,Flexible Tape,office products,4,24.6,20,98.4,80,2024-04-29
2024-04-26,12,138,Auspicious Wholesalers of Canyonborough,28,Stylish Binder Clips,office products,2,24.7,19,49.4,38,2024-04-29
2024-04-26,12,138,Auspicious Wholesalers of Canyonborough,33,Flexible Scissors,office products,2,40.88,28,81.76,56,2024-04-29
2024-04-26,12,138,Auspicious Wholesalers of Canyonborough,39,Scented Paper Clips,office products,1,27.17,19,27.17,19,2024-04-29
2024-04-26,12,138,Auspicious Wholesalers of Canyonborough,43,Safe Citrus Scented Cleaner,cleaning supplies,1,68.45,37,68.45,37,2024-04-29
2024-04-26,12,138,Auspicious Wholesalers of Canyonborough,47,Powerful Toilet Bowl Cleaner,cleaning supplies,1,70.95,43,70.95,43,2024-04-29
2024-04-26,12,138,Auspicious Wholesalers of Canyonborough,48,Powerful Carpet Stain Remover,cleaning supplies,1,33,20,33,20,2024-04-29
2024-04-26,12,138,Auspicious Wholesalers of Canyonborough,55,Powerful Air Freshener,cleaning supplies,1,67.65,41,67.65,41,2024-04-29
2024-04-26,12,138,Auspicious Wholesalers of Canyonborough,56,Industrial Oven Cleaner,cleaning supplies,1,43.25,25,43.25,25,2024-04-29
2024-04-26,12,138,Auspicious Wholesalers of Canyonborough,57,Industrial Dryer Sheets,cleaning supplies,1,101.52,54,101.52,54,2024-04-29
2024-04-26,12,138,Auspicious Wholesalers of Canyonborough,58,High-Quality Citrus Scented Cleaner,cleaning supplies,1,81.88,46,81.88,46,2024-04-29
2024-04-26,12,138,Auspicious Wholesalers of Canyonborough,59,Fragrance-Free Bathroom Cleaner,cleaning supplies,1,95.58,54,95.58,54,2024-04-29
2024-04-26,12,138,Auspicious Wholesalers of Canyonborough,84,Vibrant Notepads,copy paper,1,90.6,60,90.6,60,2024-04-29
2024-04-26,12,138,Auspicious Wholesalers of Canyonborough,85,Versatile Sketchbooks,copy paper,2,43.2,27,86.4,54,2024-04-29
2024-04-26,12,138,Auspicious Wholesalers of Canyonborough,87,Versatile Legal Size Paper,copy paper,1,55.5,37,55.5,37,2024-04-29
2024-04-26,12,138,Auspicious Wholesalers of Canyonborough,89,Vibrant Letter Size Paper,copy paper,1,40.04,28,40.04,28,2024-04-29
2024-04-26,12,138,Auspicious Wholesalers of Canyonborough,92,Smooth Origami Paper,copy paper,1,29.61,21,29.61,21,2024-04-29
2024-04-26,12,138,Auspicious Wholesalers of Canyonborough,98,Hygienic Legal Size Paper,copy paper,6,42.55,37,255.29999999999998,222,2024-04-29
2024-04-26,13,140,Majestic Caterers of Islandborough,15,Soft Wet Wipes,paper towel & tissue,3,72.38,47,217.14,141,2024-04-29
2024-04-26,13,140,Majestic Caterers of Islandborough,25,Innovative Recycled Paper,office products,8,52.14,33,417.12,264,2024-04-29
2024-04-26,13,140,Majestic Caterers of Islandborough,26,Innovative Erasers,office products,11,69.5,50,764.5,550,2024-04-29
2024-04-26,13,140,Majestic Caterers of Islandborough,28,Stylish Binder Clips,office products,8,28.31,19,226.48,152,2024-04-29
2024-04-26,13,140,Majestic Caterers of Islandborough,32,Strong Staples,office products,27,56.35,49,1521.45,1323,2024-04-29
2024-04-26,13,140,Majestic Caterers of Islandborough,33,Flexible Scissors,office products,14,38.36,28,537.04,392,2024-04-29
2024-04-26,13,140,Majestic Caterers of Islandborough,36,Practical File Folders,office products,5,32.16,24,160.79999999999998,120,2024-04-29
2024-04-26,13,140,Majestic Caterers of Islandborough,67,Eco-Friendly Juice,breakroom supplies,3,26.39,13,79.17,39,2024-04-29
2024-04-26,13,140,Majestic Caterers of Islandborough,69,Eco-Friendly Energy Drinks,breakroom supplies,7,60.9,29,426.3,203,2024-04-29
2024-04-26,13,140,Majestic Caterers of Islandborough,73,All Natural Snacks,breakroom supplies,2,13.58,7,27.16,14,2024-04-29
2024-04-26,13,140,Majestic Caterers of Islandborough,93,Convenient Colored Paper,copy paper,1,64.68,44,64.68,44,2024-04-29
2024-04-26,14,141,Beaming Servers of Lakeborough,8,Absorbent Travel Tissues,paper towel & tissue,14,33.6,28,470.40000000000003,392,2024-04-29
2024-04-26,14,141,Beaming Servers of Lakeborough,10,Fragrance-Free Cotton Handkerchiefs,paper towel & tissue,1,26.46,18,26.46,18,2024-04-29
2024-04-26,14,141,Beaming Servers of Lakeborough,15,Soft Wet Wipes,paper towel & tissue,2,63.45,47,126.9,94,2024-04-29
2024-04-26,14,141,Beaming Servers of Lakeborough,41,Eco-Friendly Laundry Detergent,cleaning supplies,1,58.24,32,58.24,32,2024-04-29
2024-04-26,14,141,Beaming Servers of Lakeborough,44,Fragrance-Free Disinfectant Wipes,cleaning supplies,1,61.71,33,61.71,33,2024-04-29
2024-04-26,14,141,Beaming Servers of Lakeborough,47,Powerful Toilet Bowl Cleaner,cleaning supplies,1,70.09,43,70.09,43,2024-04-29
2024-04-26,14,141,Beaming Servers of Lakeborough,52,Effective Citrus Scented Cleaner,cleaning supplies,9,90,60,810,540,2024-04-29
2024-04-26,14,141,Beaming Servers of Lakeborough,53,Eco-Friendly Carpet Stain Remover,cleaning supplies,1,38.88,24,38.88,24,2024-04-29
2024-04-26,14,141,Beaming Servers of Lakeborough,55,Powerful Air Freshener,cleaning supplies,1,76.67,41,76.67,41,2024-04-29
2024-04-26,14,141,Beaming Servers of Lakeborough,61,Eco-Friendly Instant Soups,breakroom supplies,1,25.76,14,25.76,14,2024-04-29
2024-04-26,14,141,Beaming Servers of Lakeborough,65,Wholesome Creamers and Sweeteners,breakroom supplies,1,24.83,13,24.83,13,2024-04-29
2024-04-26,14,141,Beaming Servers of Lakeborough,68,Wholesome Healthy Snacks,breakroom supplies,1,45.98,22,45.98,22,2024-04-29
2024-04-26,14,141,Beaming Servers of Lakeborough,70,Premium Quality Fresh Fruits,breakroom supplies,1,23.1,11,23.1,11,2024-04-29
2024-04-26,14,141,Beaming Servers of Lakeborough,72,All Natural Stirrers and Straws,breakroom supplies,1,10.5,6,10.5,6,2024-04-29
2024-04-26,15,144,Bright Hygienists of Forestburg,2,Absorbent Disinfecting Wipes,paper towel & tissue,2,35,25,70,50,2024-04-29
2024-04-26,15,144,Bright Hygienists of Forestburg,7,Convenient Disinfecting Wipes,paper towel & tissue,1,42.12,27,42.12,27,2024-04-29
2024-04-26,15,144,Bright Hygienists of Forestburg,10,Fragrance-Free Cotton Handkerchiefs,paper towel & tissue,2,26.1,18,52.2,36,2024-04-29
2024-04-26,15,144,Bright Hygienists of Forestburg,21,Stylish Paper Clips,office products,3,62.4,40,187.2,120,2024-04-29
2024-04-26,15,144,Bright Hygienists of Forestburg,25,Innovative Recycled Paper,office products,3,44.22,33,132.66,99,2024-04-29
2024-04-26,15,144,Bright Hygienists of Forestburg,26,Innovative Erasers,office products,10,76.5,50,765,500,2024-04-29
2024-04-26,15,144,Bright Hygienists of Forestburg,27,Flexible Tape,office products,9,28,20,252,180,2024-04-29
2024-04-26,15,144,Bright Hygienists of Forestburg,46,High-Quality Bathroom Cleaner,cleaning supplies,1,108,60,108,60,2024-04-29
2024-04-26,15,144,Bright Hygienists of Forestburg,50,Effective Bathroom Cleaner,cleaning supplies,2,77.85,45,155.7,90,2024-04-29
2024-04-26,15,144,Bright Hygienists of Forestburg,62,Sustainable Creamers and Sweeteners,breakroom supplies,1,14.77,7,14.77,7,2024-04-29
2024-04-26,15,144,Bright Hygienists of Forestburg,65,Wholesome Creamers and Sweeteners,breakroom supplies,3,23.27,13,69.81,39,2024-04-29
2024-04-26,15,144,Bright Hygienists of Forestburg,74,Sustainable Microwave Popcorn,breakroom supplies,2,14.35,7,28.7,14,2024-04-29
2024-04-26,15,144,Bright Hygienists of Forestburg,79,Fresh Water Bottles,breakroom supplies,14,16.5,11,231,154,2024-04-29
2024-04-26,16,149,Glossy Custodians of Forestborough,23,Versatile Markers,office products,2,68.15,47,136.3,94,2024-04-29
2024-04-26,16,149,Glossy Custodians of Forestborough,24,Practical Sticky Notes,office products,1,54.6,39,54.6,39,2024-04-29
2024-04-26,16,149,Glossy Custodians of Forestborough,25,Innovative Recycled Paper,office products,5,36.63,33,183.15,165,2024-04-29
2024-04-26,16,149,Glossy Custodians of Forestborough,26,Innovative Erasers,office products,8,65,50,520,400,2024-04-29
2024-04-26,16,149,Glossy Custodians of Forestborough,28,Stylish Binder Clips,office products,2,27.55,19,55.1,38,2024-04-29
2024-04-26,16,149,Glossy Custodians of Forestborough,33,Flexible Scissors,office products,1,40.32,28,40.32,28,2024-04-29
2024-04-26,16,149,Glossy Custodians of Forestborough,37,Scented Desk Organizers,office products,2,45.76,32,91.52,64,2024-04-29
2024-04-26,16,149,Glossy Custodians of Forestborough,41,Eco-Friendly Laundry Detergent,cleaning supplies,1,57.6,32,57.6,32,2024-04-29
2024-04-26,16,149,Glossy Custodians of Forestborough,48,Powerful Carpet Stain Remover,cleaning supplies,1,39.8,20,39.8,20,2024-04-29
2024-04-26,16,149,Glossy Custodians of Forestborough,67,Eco-Friendly Juice,breakroom supplies,1,27.43,13,27.43,13,2024-04-29
2024-04-26,16,149,Glossy Custodians of Forestborough,68,Wholesome Healthy Snacks,breakroom supplies,10,33,22,330,220,2024-04-29
2024-04-26,16,149,Glossy Custodians of Forestborough,74,Sustainable Microwave Popcorn,breakroom supplies,1,12.53,7,12.53,7,2024-04-29
2024-04-26,17,154,Vibrant Professionals of Gardentown,31,Versatile Rubber Bands,office products,1,67.94,43,67.94,43,2024-05-06
2024-04-26,17,154,Vibrant Professionals of Gardentown,36,Practical File Folders,office products,1,34.32,24,34.32,24,2024-05-06
2024-04-26,17,154,Vibrant Professionals of Gardentown,37,Scented Desk Organizers,office products,2,46.08,32,92.16,64,2024-05-06
2024-04-26,17,154,Vibrant Professionals of Gardentown,42,Effective Disinfectant Wipes,cleaning supplies,1,93.38,58,93.38,58,2024-05-06
2024-04-26,17,154,Vibrant Professionals of Gardentown,48,Powerful Carpet Stain Remover,cleaning supplies,5,30,20,150,100,2024-05-06
2024-04-26,17,154,Vibrant Professionals of Gardentown,51,Industrial Laundry Detergent,cleaning supplies,1,99,60,99,60,2024-05-06
2024-04-26,17,154,Vibrant Professionals of Gardentown,52,Effective Citrus Scented Cleaner,cleaning supplies,1,99,60,99,60,2024-05-06
2024-04-26,17,154,Vibrant Professionals of Gardentown,54,Eco-Friendly Oven Cleaner,cleaning supplies,17,32.2,23,547.4000000000001,391,2024-05-06
2024-04-26,18,158,Regal Keepers of Forestborough,18,Eco-Friendly Facial Tissues,paper towel & tissue,1,38,25,38,25,2024-05-06
2024-04-26,18,158,Regal Keepers of Forestborough,22,Leak-Proof Scissors,office products,3,40.5,27,121.5,81,2024-05-06
2024-04-26,18,158,Regal Keepers of Forestborough,28,Stylish Binder Clips,office products,4,26.41,19,105.64,76,2024-05-06
2024-04-26,18,158,Regal Keepers of Forestborough,31,Versatile Rubber Bands,office products,2,61.92,43,123.84,86,2024-05-06
2024-04-26,18,158,Regal Keepers of Forestborough,36,Practical File Folders,office products,6,38.16,24,228.95999999999998,144,2024-05-06
2024-04-26,18,158,Regal Keepers of Forestborough,39,Scented Paper Clips,office products,6,24.7,19,148.2,114,2024-05-06
2024-04-26,18,158,Regal Keepers of Forestborough,66,Wholesome Tea Selection,breakroom supplies,1,18.9,9,18.9,9,2024-05-06
2024-04-26,18,158,Regal Keepers of Forestborough,67,Eco-Friendly Juice,breakroom supplies,2,24.57,13,49.14,26,2024-05-06
2024-04-26,18,158,Regal Keepers of Forestborough,72,All Natural Stirrers and Straws,breakroom supplies,2,12.72,6,25.44,12,2024-05-06
2024-04-26,18,158,Regal Keepers of Forestborough,76,Fresh Stirrers and Straws,breakroom supplies,1,39.2,20,39.2,20,2024-05-06
2024-04-26,18,158,Regal Keepers of Forestborough,78,Sustainable Snacks,breakroom supplies,2,34.4,16,68.8,32,2024-05-06
2024-04-26,18,158,Regal Keepers of Forestborough,79,Fresh Water Bottles,breakroom supplies,1,22.33,11,22.33,11,2024-05-06
2024-04-26,18,158,Regal Keepers of Forestborough,94,Biodegradable Sketchbooks,copy paper,1,32.78,22,32.78,22,2024-05-06
2024-04-26,19,161,Regal Concierges of Riverborough,41,Eco-Friendly Laundry Detergent,cleaning supplies,1,52.48,32,52.48,32,2024-04-29
2024-04-26,19,161,Regal Concierges of Riverborough,44,Fragrance-Free Disinfectant Wipes,cleaning supplies,3,61.38,33,184.14000000000001,99,2024-04-29
2024-04-26,19,161,Regal Concierges of Riverborough,47,Powerful Toilet Bowl Cleaner,cleaning supplies,6,76.97,43,461.82,258,2024-04-29
2024-04-26,19,161,Regal Concierges of Riverborough,52,Effective Citrus Scented Cleaner,cleaning supplies,3,99,60,297,180,2024-04-29
2024-04-26,19,161,Regal Concierges of Riverborough,57,Industrial Dryer Sheets,cleaning supplies,1,100.98,54,100.98,54,2024-04-29
2024-04-26,19,161,Regal Concierges of Riverborough,58,High-Quality Citrus Scented Cleaner,cleaning supplies,1,76.82,46,76.82,46,2024-04-29
2024-04-26,19,161,Regal Concierges of Riverborough,59,Fragrance-Free Bathroom Cleaner,cleaning supplies,13,79.38,54,1031.94,702,2024-04-29
2024-04-26,19,161,Regal Concierges of Riverborough,64,Eco-Friendly Fresh Fruits,breakroom supplies,1,38,19,38,19,2024-04-29
2024-04-26,19,161,Regal Concierges of Riverborough,81,Stylish Origami Paper,copy paper,6,47.04,32,282.24,192,2024-04-29
2024-04-26,19,161,Regal Concierges of Riverborough,82,Versatile Carbon Paper,copy paper,6,41.18,29,247.07999999999998,174,2024-04-29
2024-04-26,19,161,Regal Concierges of Riverborough,85,Versatile Sketchbooks,copy paper,4,42.93,27,171.72,108,2024-04-29
2024-04-26,19,161,Regal Concierges of Riverborough,87,Versatile Legal Size Paper,copy paper,2,55.87,37,111.74,74,2024-04-29
2024-04-26,19,161,Regal Concierges of Riverborough,95,Convenient Construction Paper,copy paper,9,42.12,27,379.08,243,2024-04-29
2024-04-26,19,161,Regal Concierges of Riverborough,99,Stylish Resume Paper,copy paper,21,45.51,41,955.7099999999999,861,2024-04-29
2024-04-26,20,176,Radiant Managers of Islandcity,5,Hygienic Travel Tissues,paper towel & tissue,12,72,48,864,576,2024-04-29
2024-04-26,20,176,Radiant Managers of Islandcity,15,Soft Wet Wipes,paper towel & tissue,3,69.56,47,208.68,141,2024-04-29
2024-04-26,20,176,Radiant Managers of Islandcity,17,Convenient Pocket Tissues,paper towel & tissue,2,34.32,26,68.64,52,2024-04-29
2024-04-26,20,176,Radiant Managers of Islandcity,20,Premium Disinfecting Wipes,paper towel & tissue,15,26.4,22,396,330,2024-04-29
